Benchmark;Size;Score (ns/op)
"testAddAll";10000;17245.68126625073
"testAddAll";20000;36687.60790487093
"testAddAll";30000;60223.94805748763
"testAddAll";40000;84548.20123050158
"testAddAll";50000;105259.19704623947
"testAddAll";60000;126639.12143756771
"testAddAll";70000;148541.59350596915
"testAddAll";80000;186896.3319920651
"testAddAll";90000;189279.6614773646
"testAddAll";100000;220603.9226582638
"testAddAllAtIndex";10000;870.9556420135622
"testAddAllAtIndex";20000;1417.4588848757191
"testAddAllAtIndex";30000;8974.312470264182
"testAddAllAtIndex";40000;2667.562772488274
"testAddAllAtIndex";50000;3634.7421355121714
"testAddAllAtIndex";60000;19112.66628806301
"testAddAllAtIndex";70000;4832.288670402237
"testAddAllAtIndex";80000;4793.721893849476
"testAddAllAtIndex";90000;5540.420367120324
"testAddAllAtIndex";100000;6416.4993523580715
"testAddAtIndex";10000;501.2535163390365
"testAddAtIndex";20000;966.0210793399013
"testAddAtIndex";30000;1356.0998576750437
"testAddAtIndex";40000;1872.9687512683051
"testAddAtIndex";50000;2290.417331253315
"testAddAtIndex";60000;2717.8313395679806
"testAddAtIndex";70000;3240.752671350559
"testAddAtIndex";80000;3762.274788026248
"testAddAtIndex";90000;4179.962213114754
"testAddAtIndex";100000;4572.135674720879
"testAddElement";10000;25997.534130011376
"testAddElement";20000;51129.08656958225
"testAddElement";30000;69754.4584289191
"testAddElement";40000;90761.29023535446
"testAddElement";50000;109696.63039435919
"testAddElement";60000;128099.04707155227
"testAddElement";70000;159870.47472041417
"testAddElement";80000;178406.53445351825
"testAddElement";90000;198767.41723606645
"testAddElement";100000;214568.95548957333
"testCapacity";10000;35.068553201110156
"testCapacity";20000;35.35112131298707
"testCapacity";30000;40.32072944985325
"testCapacity";40000;49.38532433580705
"testCapacity";50000;51.85462429095083
"testCapacity";60000;44.56673121322708
"testCapacity";70000;43.07813163481953
"testCapacity";80000;44.39506734073846
"testCapacity";90000;55.23214852700506
"testCapacity";100000;46.67500117228216
"testClear";10000;2398.1545287103168
"testClear";20000;5270.864165968964
"testClear";30000;12276.423715494895
"testClear";40000;22303.131991817907
"testClear";50000;33391.56538523118
"testClear";60000;40005.88758018881
"testClear";70000;46592.58408662231
"testClear";80000;53645.35855265645
"testClear";90000;60442.68910321178
"testClear";100000;66623.14938559888
"testClone";10000;2267.8187663817266
"testClone";20000;4595.96295470154
"testClone";30000;3942.5861593680256
"testClone";40000;9369.095660007864
"testClone";50000;9172.551414271546
"testClone";60000;10749.84918454979
"testClone";70000;22004.38488369271
"testClone";80000;21685.633209951888
"testClone";90000;20440.65723793677
"testClone";100000;26763.88105874837
"testConstructorDefault";10000;33.310979197839465
"testConstructorDefault";20000;35.087643335520774
"testConstructorDefault";30000;49.404162919711275
"testConstructorDefault";40000;62.14367308083424
"testConstructorDefault";50000;59.39003704428908
"testConstructorDefault";60000;55.395763937948736
"testConstructorDefault";70000;58.85913590345168
"testConstructorDefault";80000;63.33891602156979
"testConstructorDefault";90000;56.45624297797888
"testConstructorDefault";100000;51.987226609692755
"testContains";10000;4242.829893870149
"testContains";20000;7145.504717000484
"testContains";30000;10523.525190748596
"testContains";40000;15864.238143560673
"testContains";50000;19632.922533895802
"testContains";60000;23426.26814798001
"testContains";70000;27886.216206828045
"testContains";80000;29882.165025030296
"testContains";90000;33651.621643332466
"testContains";100000;37256.5753258178
"testContainsAll";10000;13053.566621348325
"testContainsAll";20000;24026.06135062811
"testContainsAll";30000;35226.858151950844
"testContainsAll";40000;46313.39633999249
"testContainsAll";50000;58242.787449105956
"testContainsAll";60000;69012.86673988625
"testContainsAll";70000;85534.23074547459
"testContainsAll";80000;97872.44078843178
"testContainsAll";90000;112537.34438060764
"testContainsAll";100000;122687.23281621591
"testEmpty";10000;32.61122122284707
"testEmpty";20000;34.82362524470218
"testEmpty";30000;45.64223837035727
"testEmpty";40000;47.45304279644315
"testEmpty";50000;46.4538997741919
"testEmpty";60000;44.79871805602053
"testEmpty";70000;84.15870308797676
"testEmpty";80000;47.72426521603793
"testEmpty";90000;45.09041068580543
"testEmpty";100000;46.87285311547674
"testEnsureCapacity";10000;3145.3009779311947
"testEnsureCapacity";20000;5969.627391386827
"testEnsureCapacity";30000;5671.7416960296105
"testEnsureCapacity";40000;14567.081711996687
"testEnsureCapacity";50000;12179.489216208332
"testEnsureCapacity";60000;11802.27391302864
"testEnsureCapacity";70000;31520.675603665582
"testEnsureCapacity";80000;24037.91025765313
"testEnsureCapacity";90000;28760.301183988107
"testEnsureCapacity";100000;27797.81261595547
"testEquals";10000;15890.147084658827
"testEquals";20000;30529.121168187223
"testEquals";30000;45627.37303791353
"testEquals";40000;63113.19211985598
"testEquals";50000;78285.0130047105
"testEquals";60000;93647.5384506613
"testEquals";70000;108561.78390588467
"testEquals";80000;128030.87916330528
"testEquals";90000;141116.19107010466
"testEquals";100000;159860.44346305885
"testGet";10000;38.170152023189296
"testGet";20000;46.1143675576615
"testGet";30000;53.0712175065137
"testGet";40000;63.0254009976886
"testGet";50000;66.30219301052293
"testGet";60000;52.04415685411909
"testGet";70000;50.653419744603134
"testGet";80000;57.74749705334937
"testGet";90000;52.953208283670904
"testGet";100000;56.471029325607844
"testHashCode";10000;10919.655308750467
"testHashCode";20000;20863.6613002504
"testHashCode";30000;31048.5297155731
"testHashCode";40000;43763.15610921043
"testHashCode";50000;55507.28229241166
"testHashCode";60000;63488.89114142511
"testHashCode";70000;75921.9476415656
"testHashCode";80000;85424.97169523936
"testHashCode";90000;101817.42287691777
"testHashCode";100000;107707.01960171363
"testIndexOf";10000;11212.955415510056
"testIndexOf";20000;22381.92736841968
"testIndexOf";30000;33551.456490558885
"testIndexOf";40000;44656.17246999114
"testIndexOf";50000;55876.60191284292
"testIndexOf";60000;67016.26304126265
"testIndexOf";70000;78332.99713182657
"testIndexOf";80000;89376.474503489
"testIndexOf";90000;100460.69204120159
"testIndexOf";100000;111720.05111794197
"testIndexOfWithFromIndex";10000;11239.99548367659
"testIndexOfWithFromIndex";20000;22737.887885220378
"testIndexOfWithFromIndex";30000;34992.36670046134
"testIndexOfWithFromIndex";40000;48331.59837966144
"testIndexOfWithFromIndex";50000;60191.18138510573
"testIndexOfWithFromIndex";60000;72522.54277193603
"testIndexOfWithFromIndex";70000;85091.80212286743
"testIndexOfWithFromIndex";80000;99439.14726534883
"testIndexOfWithFromIndex";90000;106369.76219040896
"testIndexOfWithFromIndex";100000;118119.91445470905
"testIsEmpty";10000;31.26068572572864
"testIsEmpty";20000;38.16256004587115
"testIsEmpty";30000;39.96660743127554
"testIsEmpty";40000;45.32374154120796
"testIsEmpty";50000;46.69573424818097
"testIsEmpty";60000;52.328836648938
"testIsEmpty";70000;39.81515240221403
"testIsEmpty";80000;45.64562147605947
"testIsEmpty";90000;48.793133157041716
"testIsEmpty";100000;56.73257009390071
"testIterator";10000;6039.177894527646
"testIterator";20000;11041.874680455543
"testIterator";30000;15963.291109913116
"testIterator";40000;24060.227425868867
"testIterator";50000;29380.3221412268
"testIterator";60000;33002.504744818005
"testIterator";70000;41267.965854353264
"testIterator";80000;49723.1222754375
"testIterator";90000;51855.4364542318
"testIterator";100000;59872.582465865074
"testLastIndexOfWithFromIndex";10000;10496.396747049792
"testLastIndexOfWithFromIndex";20000;5768.138058280846
"testLastIndexOfWithFromIndex";30000;31548.478663573394
"testLastIndexOfWithFromIndex";40000;42358.091214090724
"testLastIndexOfWithFromIndex";50000;52947.152818692084
"testLastIndexOfWithFromIndex";60000;72390.37114659137
"testLastIndexOfWithFromIndex";70000;74053.4694092861
"testLastIndexOfWithFromIndex";80000;84768.81497710978
