Size;Constructor();push(E);pop();peek();search(Object);empty();add(E);add(int, E);addAll(Collection);addAll(int, Collection);get(int);set(int, E);remove(int);remove(Object);removeAll(Collection);retainAll(Collection);clear();contains(Object);containsAll(Collection);indexOf(Object);indexOf(Object, int);lastIndexOf(Object, int);size();isEmpty();capacity();clone();trimToSize();ensureCapacity(int);subList(int, int);sort(Comparator);equals(Object);hashCode();iterator();listIterator();listIterator(int);spliterator();toArray();toArray(T[]);toString()
10000;33;25773;35;34;2137;33;25998;501;17246;871;38;38;517;12276;57238;55962;2398;4243;13054;11213;11240;10496;34;31;35;2268;1685;3145;34;12828;15890;10920;6039;6609;3990;31;1797;6373;182484
20000;35;49795;37;39;4590;35;51129;966;36688;1417;46;45;942;24431;112780;108295;5271;7146;24026;22382;22738;5768;39;38;35;4596;2492;5970;37;25204;30529;20864;11042;11575;7077;37;2529;10916;376018
30000;49;69910;44;45;6879;46;69754;1356;60224;8974;53;66;1399;36588;169994;162587;12276;10524;35227;33551;34992;31548;40;40;40;3943;3410;5672;47;37479;45627;31049;15963;16814;10198;64;3449;16485;560012
40000;62;91520;55;53;9014;47;90761;1873;84548;2668;63;65;1907;48741;224989;215028;22303;15864;46313;44656;48332;42358;48;45;49;9369;6419;14567;62;50698;63113;43763;24060;24550;15532;77;6457;23930;743291
50000;59;117015;55;51;11095;46;109697;2290;105259;3635;66;70;2347;60871;283550;275567;33392;19633;58243;55877;60191;52947;44;47;52;9173;8444;12179;66;62908;78285;55507;29380;30683;19629;91;8410;29853;950553
60000;55;128353;63;43;13144;45;128099;2718;126639;19113;52;63;2813;73062;337671;326181;40006;23426;69013;67016;72523;72390;44;52;45;10750;8025;11802;61;75213;93648;63489;33003;34684;22752;78;9615;32525;1138541
70000;59;159327;48;44;14949;84;159870;3241;148542;4832;51;78;3286;86969;392744;376953;46593;27886;85534;78333;85092;74053;38;40;43;22004;10913;31521;57;90669;108562;75922;41268;41706;27730;92;13287;38460;1305732
80000;63;180020;56;46;17354;48;178407;3762;186896;4794;58;74;3819;97581;451195;428817;53645;29882;97872;89376;99439;84769;38;46;44;21686;11991;24038;63;102759;128031;85425;49723;47445;30306;77;13850;44345;1458157
90000;56;198804;51;48;19408;45;198767;4180;189280;5540;53;72;4232;109587;519897;487007;60443;33652;112537;100461;106370;95412;40;49;55;20441;13730;28760;79;121170;141116;101817;51855;53933;33728;79;13163;50012;1598663
100000;52;230165;54;50;21521;47;214569;4572;220604;6416;56;68;4682;121791;562411;572259;66623;37257;122687;111720;118120;120998;44;57;47;26764;18092;27798;65;126127;159860;107707;59873;62122;37336;79;19077;57852;1898785
