Size;Constructor();push(E);pop();peek();search(Object);empty();add(E);add(int, E);addAll(Collection);addAll(int, Collection);get(int);set(int, E);remove(int);remove(Object);removeAll(Collection);retainAll(Collection);clear();contains(Object);containsAll(Collection);indexOf(Object);indexOf(Object, int);lastIndexOf(Object, int);size();isEmpty();capacity();clone();trimToSize();ensureCapacity(int);subList(int, int);sort(Comparator);equals(Object);hashCode();iterator();listIterator();listIterator(int);spliterator();toArray();toArray(T[]);toString()
10000;34;25424;34;33;2046;33;25841;461;10526;1577;38;39;484;7713;4104446;4089539;2438;3470;123386;6964;6963;6216;33;31;34;1739;1446;2260;35;12799;25565;19569;29786;29761;15366;32;1620;5813;159561
20000;40;51167;36;36;4504;35;50174;912;20756;3139;40;45;908;15220;16275733;16194885;5126;6227;474970;13850;13980;12669;36;34;34;3401;2387;4799;37;25067;171079;159947;58729;59024;30192;34;2364;11118;337308
30000;50;72488;58;52;6841;41;71398;1357;33321;5309;49;55;1386;22629;39220606;38936048;9973;8989;1079781;20516;20928;19474;41;39;41;4055;3784;6473;61;37507;256775;236043;87241;87542;44628;50;4011;16595;513397
40000;62;92142;80;67;10233;51;91395;1817;48132;6729;58;68;1845;29977;80846046;78195529;16327;12615;1852742;27209;28211;25499;49;47;56;7214;5728;11524;75;50230;343122;315453;118791;121912;62226;67;5700;22840;687958
50000;61;116062;109;87;11077;52;117148;2309;58372;3065;61;71;2345;37143;121558264;117176963;22738;15540;2884999;33630;35238;31887;46;47;46;9190;7856;13148;105;63068;427498;392571;154901;147340;75581;91;7866;28074;867793
60000;61;138685;98;71;13174;52;137493;2764;71474;11164;54;70;2880;44423;179353470;154479253;27319;17741;4176959;40317;42411;38247;45;46;47;9428;9503;14710;821;75221;512347;473368;177318;182292;89828;73;8595;35572;992403
70000;50;164725;93;74;15013;45;161340;3224;86550;4271;54;66;3301;52823;233710622;213578091;31928;21419;6048082;46902;49084;45041;40;43;40;16258;11333;20874;468;89304;600900;549665;205003;205820;105459;70;10527;39321;1147617
80000;49;181278;95;73;17398;51;180885;3747;97760;12603;62;74;3727;59560;279204152;270796508;36357;23797;7932834;53763;56089;50834;41;45;47;17177;13458;21336;277;101471;684977;627523;234515;235696;119859;78;11845;46041;1319890
90000;61;209234;111;77;19241;53;207366;4200;107984;5440;57;66;4225;66976;377684505;355441466;40867;27046;10176211;60267;63313;57171;41;44;47;17077;13535;30895;648;114615;768893;707292;265397;263753;135116;92;13313;51158;1517822
100000;60;230640;107;75;21555;49;236137;4612;121923;5878;61;82;4778;74222;466730493;436746860;45893;29745;12531016;66613;70238;63480;47;48;49;20878;16894;37025;460;126826;862783;789258;295085;304628;150691;78;16608;58793;1742279
