Benchmark;Size;Score (ns/op)
"testAddAll";10000;17562.873932315328
"testAddAll";20000;35925.89261349035
"testAddAll";30000;56600.50249655705
"testAddAll";40000;84289.98963740886
"testAddAll";50000;102799.29917436214
"testAddAll";60000;124055.36836279034
"testAddAll";70000;150042.92465773906
"testAddAll";80000;169192.6443823081
"testAddAll";90000;187883.3193954758
"testAddAll";100000;212178.5423147348
"testAddAllAtIndex";10000;866.8146298824195
"testAddAllAtIndex";20000;1407.6380312266947
"testAddAllAtIndex";30000;8772.258195456643
"testAddAllAtIndex";40000;2452.337424863775
"testAddAllAtIndex";50000;3093.444721742578
"testAddAllAtIndex";60000;18745.89986954171
"testAddAllAtIndex";70000;4379.301000052778
"testAddAllAtIndex";80000;5181.67351012861
"testAddAllAtIndex";90000;5473.251067237691
"testAddAllAtIndex";100000;5863.099103027077
"testAddAtIndex";10000;507.4620378988256
"testAddAtIndex";20000;949.4555917127245
"testAddAtIndex";30000;1332.652564230115
"testAddAtIndex";40000;1798.6450438859974
"testAddAtIndex";50000;2284.836175534392
"testAddAtIndex";60000;2735.593029504688
"testAddAtIndex";70000;3218.9154859816736
"testAddAtIndex";80000;3670.1823887637606
"testAddAtIndex";90000;4112.991387854344
"testAddAtIndex";100000;4584.686594202899
"testAddElement";10000;26230.8179873888
"testAddElement";20000;50134.03322132714
"testAddElement";30000;70965.65128412265
"testAddElement";40000;90470.1857440857
"testAddElement";50000;113416.22487320621
"testAddElement";60000;130484.24957355415
"testAddElement";70000;159621.93070805108
"testAddElement";80000;178348.97753410178
"testAddElement";90000;197368.93698967076
"testAddElement";100000;223824.57144289752
"testCapacity";10000;33.912300145321986
"testCapacity";20000;33.90313481169343
"testCapacity";30000;41.07244248196032
"testCapacity";40000;57.84370220762552
"testCapacity";50000;46.86189106139117
"testCapacity";60000;46.594010888067686
"testCapacity";70000;39.43822484464524
"testCapacity";80000;43.55997983656445
"testCapacity";90000;45.69957632582146
"testCapacity";100000;44.63124356894957
"testClear";10000;2396.646994976591
"testClear";20000;5294.691268345228
"testClear";30000;12298.74604394775
"testClear";40000;22438.662714619026
"testClear";50000;33465.824554521016
"testClear";60000;40151.78558132049
"testClear";70000;46949.613521530904
"testClear";80000;53609.3384658169
"testClear";90000;59768.6869970873
"testClear";100000;67281.31399482487
"testClone";10000;2333.7616829201393
"testClone";20000;4610.872910451893
"testClone";30000;3961.3368605257565
"testClone";40000;9321.594927287457
"testClone";50000;10635.011574625509
"testClone";60000;9814.230988700643
"testClone";70000;21284.396676375294
"testClone";80000;20757.08621827179
"testClone";90000;19989.982873436144
"testClone";100000;25895.241019691093
"testConstructorDefault";10000;33.46079458366271
"testConstructorDefault";20000;37.68557702901335
"testConstructorDefault";30000;50.20387208438374
"testConstructorDefault";40000;63.36928118592281
"testConstructorDefault";50000;57.393909122102855
"testConstructorDefault";60000;54.364309582380365
"testConstructorDefault";70000;44.83585092877279
"testConstructorDefault";80000;48.81551589171207
"testConstructorDefault";90000;69.79467438545409
"testConstructorDefault";100000;53.32907163140111
"testContains";10000;4235.430472931828
"testContains";20000;7157.737020898984
"testContains";30000;10507.429291077864
"testContains";40000;15818.346392780712
"testContains";50000;19709.901587043376
"testContains";60000;21449.069977603413
"testContains";70000;27053.816089596225
"testContains";80000;30101.916182913472
"testContains";90000;33659.97797687884
"testContains";100000;37667.13761829189
"testContainsAll";10000;12303.36278038964
"testContainsAll";20000;24120.244712597865
"testContainsAll";30000;34931.280823730776
"testContainsAll";40000;46289.92975074505
"testContainsAll";50000;57277.23935736731
