"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,17562.873932,7332.988354,"ns/op",10000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,35925.892613,33444.126010,"ns/op",20000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,56600.502497,107865.085150,"ns/op",30000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,84289.989637,82399.778500,"ns/op",40000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,102799.299174,53095.771322,"ns/op",50000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,124055.368363,2008.316981,"ns/op",60000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,150042.924658,6225.645972,"ns/op",70000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,169192.644382,21517.550182,"ns/op",80000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,187883.319395,34162.509380,"ns/op",90000
"customstack.CustomStackBenchmark.testAddAll","avgt",1,3,212178.542315,19219.791893,"ns/op",100000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,866.814630,25.203686,"ns/op",10000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,1407.638031,372.631520,"ns/op",20000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,8772.258195,10477.591776,"ns/op",30000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,2452.337425,1161.083894,"ns/op",40000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,3093.444722,931.192359,"ns/op",50000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,18745.899870,17402.836017,"ns/op",60000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,4379.301000,2982.773520,"ns/op",70000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,5181.673510,14146.982913,"ns/op",80000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,5473.251067,5162.243122,"ns/op",90000
"customstack.CustomStackBenchmark.testAddAllAtIndex","avgt",1,3,5863.099103,1153.329099,"ns/op",100000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,507.462038,113.956745,"ns/op",10000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,949.455592,825.286546,"ns/op",20000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,1332.652564,293.837949,"ns/op",30000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,1798.645044,226.988115,"ns/op",40000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,2284.836176,122.961055,"ns/op",50000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,2735.593030,23.293570,"ns/op",60000
"customstack.CustomStackBenchmark.testAddAtIndex","avgt",1,3,3218.915486,563.935900,"ns/op",70000
